id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,source
li-4147764496,linkedin,https://www.linkedin.com/jobs/view/4147764496,,Lead Software Engineer,Capgemini Automotive,"Bengaluru, Karnataka, India",,,,,,,,,,,,,,,https://www.linkedin.com/showcase/capgemini-automotive/,,,,,,,linkedin
li-4079981585,linkedin,https://www.linkedin.com/jobs/view/4079981585,,IN-Senior Associate_Power BI Developer _Advisory Corporate _Advisory_Noida,PwC India,"Noida, Uttar Pradesh, India",,,,,,,,,,,,,,,https://in.linkedin.com/company/pwc-india,,,,,,,linkedin
li-4130388180,linkedin,https://www.linkedin.com/jobs/view/4130388180,,Senior Software Engineer- Tech Support,3Pillar,,,,,,,,,,,,,,,,https://www.linkedin.com/company/3pillar,,,,,,,linkedin
li-4147784330,linkedin,https://www.linkedin.com/jobs/view/4147784330,,"Senior SDE, Amazon Q Business",Amazon Web Services (AWS),"Bengaluru, Karnataka, India",,,,,,,,,,,,,,,https://www.linkedin.com/company/amazon-web-services,,,,,,,linkedin
li-4147454074,linkedin,https://www.linkedin.com/jobs/view/4147454074,,Digital S/W Eng Sr Analyst - C12 - PUNE,Citi,"Pune, Maharashtra, India",,,,,,,,,,,,,,,https://www.linkedin.com/company/citi,,,,,,,linkedin
li-4124754093,linkedin,https://www.linkedin.com/jobs/view/4124754093,,Software Developer Senior Specialist - AI/ML Engineer,Nasdaq,"Bengaluru East, Karnataka, India",,,,,,,,,,,,,,,https://www.linkedin.com/company/nasdaq,,,,,,,linkedin
li-4059786490,linkedin,https://www.linkedin.com/jobs/view/4059786490,,"RF Senior Software Support Engineer, Music Region Flex",Amazon Music,"Hyderabad, Telangana, India",,,,,,,,,,,,,,,https://www.linkedin.com/company/amazon-music,,,,,,,linkedin
li-4122880301,linkedin,https://www.linkedin.com/jobs/view/4122880301,,Senior Information Developer,Qualys,"Pune, Maharashtra, India",,,,,,,,,,,,,,,https://www.linkedin.com/company/qualys,,,,,,,linkedin
li-4081451139,linkedin,https://www.linkedin.com/jobs/view/4081451139,,Senior Workday Developer,Guidehouse,"Chennai, Tamil Nadu, India",,,,,,,,,,,,,,,https://www.linkedin.com/company/guidehouse,,,,,,,linkedin
li-4120992407,linkedin,https://www.linkedin.com/jobs/view/4120992407,,Software Engineering Technical Lead | NSO FP Engineering,Cisco,"Bengaluru, Karnataka, India",,,,,,,,,,,,,,,https://www.linkedin.com/company/cisco,,,,,,,linkedin
